Wavelength(nm)	T%
934.5		0.003934974
934		0.00374852
933.5		0.00354887
933		0.004057198
932.5		0.003738066
932		0.003754728
931.5		0.003669928
931		0.003478906
930.5		0.003297124
930		0.003541107
929.5		0.003209376
929		0.003820736
928.5		0.003241722
928		0.003886612
927.5		0.003602674
927		0.00352118
926.5		0.003134761
926		0.003302628
925.5		0.003563628
925		0.003778937
924.5		0.003027468
924		0.00368777
923.5		0.003259793
923		0.003916411
922.5		0.003950228
922		0.003656771
921.5		0.003610692
921		0.003767596
920.5		0.003363158
920		0.004081367
919.5		0.003499403
919		0.003418167
918.5		0.003718525
918		0.00404674
917.5		0.003534904
917		0.003616214
916.5		0.003517244
916		0.004059302
915.5		0.00288993
915		0.004072625
914.5		0.003741576
914		0.003550377
913.5		0.00361672
913		0.00323098
912.5		0.004195485
912		0.003506735
911.5		0.003469447
911		0.00381006
910.5		0.003859131
910		0.003684716
909.5		0.003342554
909		0.00335211
908.5		0.003569478
908		0.003775829
907.5		0.003536273
907		0.003192402
906.5		0.003199018
906		0.003950702
905.5		0.003364075
905		0.003988916
904.5		0.003599196
904		0.003046191
903.5		0.003207551
903		0.003326826
902.5		0.003341671
902		0.003749337
901.5		0.003359644
901		0.003622742
900.5		0.003611399
900		0.003158778
899.5		-0.000582176
899		0.000863018
898.5		0.00066827
898		0.000238013
897.5		0.000939515
897		0.000233201
896.5		0.000598208
896		0.000336592
895.5		0.000509761
895		1.57E-05
894.5		0.000427176
894		0.000601561
893.5		0.000350525
893		9.67E-05
892.5		0.000451409
892		0.000426129
891.5		0.00012642
891		0.00012946
890.5		0.000257419
890		0.000463885
889.5		0.000642737
889		0.000624887
888.5		-0.000143276
888		0.000493463
887.5		0.000129201
887		0.000428337
886.5		0.000167702
886		0.000332953
885.5		0.00043506
885		0.000179184
884.5		0.000606672
884		7.78E-05
883.5		0.000297795
883		0.000415307
882.5		0.000156433
882		0.000377387
881.5		-5.62E-05
881		0.000276915
880.5		9.68E-06
880		3.87E-05
879.5		0.00033002
879		0.000112991
878.5		0.000248767
878		9.80E-05
877.5		0.000326783
877		0.0001107
876.5		9.85E-05
876		0.000275015
875.5		4.88E-05
875		0.000106397
874.5		-2.50E-05
874		0.000164595
873.5		5.91E-05
873		0.000155273
872.5		0.00017014
872		8.41E-06
871.5		0.000250676
871		5.53E-06
870.5		0.000254818
870		9.89E-05
869.5		0.000237679
869		0.000149628
868.5		4.47E-05
868		0.000377896
867.5		9.62E-06
867		0.000148418
866.5		-2.50E-05
866		0.000231748
865.5		0.000103274
865		0.000103913
864.5		0.000247967
864		3.96E-05
863.5		0.000128699
863		0.00010461
862.5		5.70E-05
862		0.000115176
861.5		0.000160823
861		0.000226461
860.5		4.18E-05
860		-8.01E-06
859.5		9.34E-05
859		3.24E-05
858.5		0.000152894
858		1.39E-05
857.5		3.65E-05
857		4.62E-05
856.5		9.93E-05
856		0.000166078
855.5		5.99E-05
