Wavelength(nm)	T%
934.5		0.003365974
934		0.003514529
933.5		0.00296134
933		0.003531116
932.5		0.002654816
932		0.003269453
931.5		0.003339004
931		0.003869669
930.5		0.003787391
930		0.003232085
929.5		0.003137183
929		0.003369088
928.5		0.003370699
928		0.002525588
927.5		0.003250449
927		0.003504318
926.5		0.003309903
926		0.003472959
925.5		0.003641313
925		0.00360803
924.5		0.003154987
924		0.003150797
923.5		0.002549638
923		0.003473038
922.5		0.003052228
922		0.003483604
921.5		0.003764302
921		0.002972344
920.5		0.002686153
920		0.003019633
919.5		0.003005753
919		0.003333517
918.5		0.00331399
918		0.00329086
917.5		0.003549858
917		0.002426577
916.5		0.003223078
916		0.003449041
915.5		0.002779465
915		0.003021348
914.5		0.003673546
914		0.003087283
913.5		0.003441847
913		0.003451687
912.5		0.003555833
912		0.003030222
911.5		0.003164715
911		0.003645913
910.5		0.003184483
910		0.003911664
909.5		0.003485849
909		0.003027886
908.5		0.00376727
908		0.003724109
907.5		0.003408682
907		0.003499686
906.5		0.003490423
906		0.00280249
905.5		0.003210978
905		0.003560763
904.5		0.00306979
904		0.003871675
903.5		0.003484959
903		0.003129404
902.5		0.003444785
902		0.003132365
901.5		0.003307395
901		0.003634199
900.5		0.00419162
900		0.00366025
899.5		0.003139646
899		0.003101316
898.5		0.002885439
898		0.004045761
897.5		0.00318915
897		0.00289309
896.5		0.003419394
896		0.003500474
895.5		0.003751728
895		0.003248509
894.5		0.003156173
894		0.003362359
893.5		0.004298891
893		0.003047663
892.5		0.003867532
892		0.003051904
891.5		0.002889496
891		0.003549622
890.5		0.003319445
890		0.003164258
889.5		0.003510164
889		0.003087221
888.5		0.003396863
888		0.003016182
887.5		0.003588303
887		0.002910099
886.5		0.00308056
886		0.002950538
885.5		0.003263154
885		0.003531213
884.5		0.002903894
884		0.00344787
883.5		0.003583803
883		0.003490425
882.5		0.003013508
882		0.003065548
881.5		0.003483844
881		0.002623736
880.5		0.00287482
880		0.003225261
879.5		-0.001366824
879		-4.06E-05
878.5		0.000165565
878		0.000268925
877.5		3.59E-05
877		4.62E-06
876.5		0.000282222
876		8.46E-05
875.5		0.000215636
875		5.83E-05
874.5		0.000254149
874		-1.37E-05
873.5		0.000108255
873		0.000289951
872.5		3.25E-05
872		0.000265851
871.5		4.53E-05
871		0.000271813
870.5		9.57E-05
870		0.000169889
869.5		0.00011218
869		6.87E-05
868.5		0.000137509
868		5.37E-05
867.5		0.000127298
867		5.97E-05
866.5		0.000188482
866		-2.84E-05
865.5		6.11E-05
865		0.000210737
864.5		-2.00E-05
864		0.000387029
863.5		0.00012735
863		-5.89E-05
862.5		0.000330705
862		4.39E-05
861.5		0.00018941
861		0.000123098
860.5		0.000215765
860		3.42E-05
859.5		5.33E-05
859		0.000181695
858.5		0.00010244
858		1.10E-05
857.5		9.90E-05
857		-3.59E-05
856.5		0.000142434
856		-2.19E-06
855.5		1.03E-05
855		9.02E-05
854.5		2.24E-05
854		0.0001055
853.5		7.28E-05
853		6.60E-06
852.5		0.000173827
852		5.21E-05
851.5		0.000198439
851		0.000152598
850.5		1.57E-05
850		0.000193078
849.5		3.27E-05
849		-3.34E-05
848.5		0.000163661
848		4.12E-05
847.5		4.51E-05
847		0.000126393
846.5		0.00012588
846		5.41E-05
845.5		0.000144477
845		0.000121853
844.5		4.49E-05
844		0.000182988
843.5		-4.40E-05
843		9.12E-05
842.5		0.000118686
842		0.000165146
841.5		8.63E-05
841		0.000103796
840.5		8.54E-05
840		5.47E-05
839.5		0.000159636
839		-1.22E-06
838.5		8.28E-05
838		0.000132272
837.5		5.06E-05
837		1.96E-05
836.5		0.000139996
836		0.000175148
835.5		-7.55E-05
835		7.25E-05
834.5		4.80E-05
834		8.50E-05
833.5		3.16E-06
833		5.75E-05
832.5		1.49E-05
832		0.000119787
831.5		2.48E-05
831		0.000205086
830.5		6.51E-06
830		5.35E-05
829.5		0.000208524
829		3.01E-05
828.5		6.45E-05
828		3.31E-05
827.5		2.73E-05
827		7.82E-05
826.5		0.000182972
826		6.28E-05
825.5		8.98E-05
825		3.65E-05
824.5		-2.03E-05
824		0.00010511
823.5		0.000180864
823		5.18E-05
822.5		6.17E-06
822		0.000127777
821.5		7.05E-05
821		4.35E-05
820.5		5.70E-05
820		7.77E-05
819.5		7.77E-05
819		0.000209216
818.5		1.64E-05
818		5.67E-05
817.5		-2.94E-05
817		4.55E-05
816.5		0.000174934
816		5.07E-05
815.5		-9.05E-05
815		0.000103232
814.5		5.43E-05
814		0.000127717
813.5		6.93E-05
813		0.000138418
812.5		-2.80E-05
812		-8.72E-06
811.5		-8.96E-06
811		8.99E-05
810.5		-3.70E-05
810		-8.23E-06
809.5		-1.96E-05
809		0.000146015
808.5		0.000158292
808		-1.60E-06
807.5		9.90E-05
807		0.000111086
806.5		0.000129007
806		0.000166004
805.5		8.04E-05
805		0.000133916
804.5		-8.83E-06
804		7.86E-05
803.5		0.000105668
803		0.000101291
802.5		5.92E-05
802		0.000112904
801.5		0.00019012
801		9.79E-05
800.5		5.08E-05
800		0.000241926
799.5		0.000157053
799		0.00021928
798.5		0.000120304
798		0.000223578
797.5		0.000118441
797		0.000122513
796.5		0.000134377
796		0.000256031
795.5		0.000139613
795		9.79E-05
794.5		0.000170387
794		0.000160758
793.5		0.000175697
793		0.000208381
792.5		0.00026445
792		0.000177622
791.5		0.000110468
791		0.000138026
790.5		0.000147523
790		3.93E-05
789.5		6.50E-05
789		9.99E-05
788.5		0.000141927
788		6.66E-06
787.5		5.13E-06
787		6.99E-05
786.5		0.000127185
786		5.31E-05
785.5		0.000158614
785		4.15E-05
784.5		5.58E-05
784		0.000144826
783.5		0.000138167
783		9.94E-05
782.5		0.000147387
782		8.57E-05
781.5		0.000120114
781		0.000110107
780.5		-3.25E-05
780		5.24E-05
779.5		0.000126694
779		0.000131878
778.5		8.82E-05
778		0.000139166
777.5		0.000244617
777		0.00010529
776.5		0.000182405
776		0.000258901
775.5		0.000323252
775		0.000202062
774.5		0.000382328
774		0.000499973
773.5		0.000653322
773		0.000591998
772.5		0.000760932
772		0.000849718
771.5		0.000917911
771		0.0009681
770.5		0.000902015
770		0.000980432
769.5		0.000678592
769		0.000545056
768.5		0.000441706
768		0.000317618
767.5		0.000265005
767		0.000230023
766.5		0.000260791
766		0.00020854
765.5		0.000180367
765		0.000257916
764.5		8.39E-05
764		0.00017438
763.5		0.000135448
763		0.000172951
762.5		0.000179558
762		0.000103797
761.5		0.000136538
761		0.000201698
760.5		9.74E-05
760		9.03E-05
759.5		7.53E-05
759		0.000180019
758.5		0.000207587
758		5.01E-05
757.5		7.10E-05
757		0.000123501
756.5		0.000230578
756		0.000342744
755.5		0.000650004
755		0.000952909
754.5		0.001532934
754		0.002032037
753.5		0.002292788
753		0.002037761
752.5		0.001508576
752		0.000973075
751.5		0.000482805
751		0.000131691
750.5		0.000167306
750		0.000122085
749.5		5.85E-05
749		6.88E-05
748.5		1.06E-05
748		0.000146386
747.5		9.18E-05
747		-6.42E-05
746.5		9.96E-05
746		-0.000115257
745.5		4.79E-05
745		0.000257303
744.5		1.29E-05
744		4.52E-06
743.5		6.20E-05
743		7.29E-05
742.5		1.38E-05
742		0.000183028
741.5		0.000133761
741		3.05E-05
740.5		2.76E-05
740		7.59E-05
739.5		2.64E-06
739		3.24E-05
738.5		9.37E-05
738		8.65E-05
737.5		-3.16E-05
737		4.00E-06
736.5		1.79E-05
736		4.48E-05
735.5		0.000123633
735		-5.20E-05
734.5		-2.32E-05
734		-2.42E-05
733.5		-9.74E-05
733		-2.50E-05
732.5		0.000101333
732		-2.67E-05
731.5		-1.72E-06
731		-3.57E-05
730.5		4.75E-05
730		-2.24E-05
729.5		7.53E-05
729		-5.88E-05
728.5		-0.000111218
728		-7.76E-05
727.5		4.39E-05
727		5.14E-05
726.5		6.07E-06
726		-1.99E-05
725.5		-2.32E-05
725		7.15E-05
724.5		1.84E-05
724		2.81E-05
723.5		-3.65E-05
723		1.97E-05
722.5		7.26E-05
722		0.000140983
721.5		0.0001052
721		0.000103612
720.5		-3.94E-05
720		2.94E-05
719.5		-9.60E-06
719		3.39E-05
718.5		8.11E-05
718		-3.06E-05
717.5		-0.000151502
717		0.000137163
716.5		4.82E-05
716		6.98E-05
715.5		-4.35E-05
715		2.03E-05
714.5		2.09E-05
714		8.49E-07
713.5		9.21E-05
713		2.70E-05
712.5		2.99E-05
712		9.54E-06
711.5		6.38E-05
711		0.000104993
710.5		-1.95E-05
710		-5.00E-05
709.5		2.77E-05
709		4.99E-05
708.5		-2.77E-05
708		9.27E-06
707.5		4.59E-06
707		-1.07E-05
706.5		7.63E-05
706		-3.90E-05
705.5		7.63E-05
705		-3.10E-05
704.5		0.000101021
704		6.54E-05
703.5		9.40E-06
703		2.76E-05
702.5		-4.93E-06
702		0.000148686
701.5		-6.19E-05
701		3.23E-05
700.5		-1.18E-05
700		1.09E-05
699.5		3.43E-05
699		5.28E-05
698.5		1.22E-05
698		0.000114388
697.5		-6.80E-05
697		4.50E-05
696.5		-4.22E-05
696		4.72E-05
695.5		9.94E-05
