Wavelength(nm)	T%
934.5		95.50143433
934		95.57169342
933.5		95.64286804
933		95.66254425
932.5		95.67328644
932		95.67779541
931.5		95.65824127
931		95.59444427
930.5		95.52479553
930		95.43755341
929.5		95.32991028
929		95.18698883
928.5		95.04118347
928		94.86954498
927.5		94.68914032
927		94.49646759
926.5		94.29382324
926		94.07528687
925.5		93.85696411
925		93.62844849
924.5		93.40037537
924		93.18050385
923.5		92.96611786
923		92.75319672
922.5		92.55018616
922		92.35297394
921.5		92.17172241
921		92.00117493
920.5		91.85494232
920		91.7218399
919.5		91.60413361
919		91.51000214
918.5		91.43154907
918		91.38062286
917.5		91.33811188
917		91.32430267
916.5		91.32635498
916		91.35163116
915.5		91.38296509
915		91.44703674
914.5		91.52231598
914		91.60368347
913.5		91.71215057
913		91.83242798
912.5		91.96060944
912		92.09950256
911.5		92.25389099
911		92.40395355
910.5		92.56562805
910		92.7303009
909.5		92.89417267
909		93.05717468
908.5		93.21551514
908		93.3737793
907.5		93.51776886
907		93.66742706
906.5		93.81069946
906		93.93731689
905.5		94.05904388
905		94.1662674
904.5		94.26292419
904		94.34892273
903.5		94.42170715
903		94.47879791
902.5		94.52539063
902		94.55950165
901.5		94.57731628
901		94.5855484
900.5		94.5785675
900		94.56876373
899.5		94.54217529
899		94.51383209
898.5		94.46871185
898		94.42612457
897.5		94.3742981
897		94.31282806
896.5		94.26628113
896		94.20287323
895.5		94.15422058
895		94.08765411
894.5		94.03132629
894		93.97697449
893.5		93.93309784
893		93.89154816
892.5		93.85140991
892		93.82118225
891.5		93.80191803
891		93.77035522
890.5		93.75856781
890		93.75139618
889.5		93.7534256
889		93.75913239
888.5		93.77476501
888		93.77986908
887.5		93.80490875
887		93.82437134
886.5		93.86494446
886		93.88595581
885.5		93.93004608
885		93.96755219
884.5		94.00157928
884		94.05101776
883.5		94.08500671
883		94.12348175
882.5		94.16864014
882		94.19821167
881.5		94.2399826
881		94.27894592
880.5		94.31645203
880		94.34339905
879.5		94.30551147
879		94.31795502
878.5		94.40129089
878		94.32370758
877.5		94.31336975
877		94.35423279
876.5		94.31563568
876		94.32978821
875.5		94.27278137
875		94.3374939
874.5		94.30316162
874		94.237854
873.5		94.26034546
873		94.19441986
872.5		94.07315826
872		94.06069183
871.5		93.99945068
871		93.93147278
870.5		93.85652161
870		93.73791504
869.5		93.71867371
869		93.53121948
868.5		93.47523499
868		93.34759521
867.5		93.31633759
867		93.22255707
866.5		93.07196808
866		92.96009827
865.5		92.8732605
865		92.74998474
