Wavelength(nm)	T%
934.5		0.003586377
934		0.003476983
933.5		0.003435293
933		0.003233405
932.5		0.003880353
932		0.003336456
931.5		0.003336821
931		0.003983248
930.5		0.003960249
930		0.003467042
929.5		0.003731402
929		0.003525177
928.5		0.003380159
928		0.003353028
927.5		0.003013576
927		0.003653467
926.5		0.002792996
926		0.003509315
925.5		0.0032157
925		0.003820391
924.5		0.003535153
924		0.003788678
923.5		0.003992258
923		0.004465226
922.5		0.003801173
922		0.003576067
921.5		0.003903681
921		0.003812779
920.5		0.00329684
920		0.003563961
919.5		0.003997419
919		0.00369785
918.5		0.00364934
918		0.003800867
917.5		0.003772173
917		0.003339633
916.5		0.003313465
916		0.003888575
915.5		0.003690716
915		0.002947008
914.5		0.004070652
914		0.003846189
913.5		0.003608718
913		0.00383449
912.5		0.003956499
912		0.003934372
911.5		0.004423827
911		0.003703609
910.5		0.00358573
910		0.003434883
909.5		0.00395134
909		0.003930298
908.5		0.004136272
908		0.003460316
907.5		0.003111759
907		0.004262887
906.5		0.003506476
906		0.003788995
905.5		0.004041107
905		0.004072376
904.5		0.003817941
904		0.004079881
903.5		0.003565301
903		0.004059901
902.5		0.004425272
902		0.003715949
901.5		0.004130716
901		0.003894193
900.5		0.003430908
900		0.00359111
899.5		0.004110832
899		0.004341213
898.5		0.003854992
898		0.004085317
897.5		0.004117562
897		0.004328564
896.5		0.004806918
896		0.004002439
895.5		0.004081992
895		0.00464052
894.5		0.004501546
894		0.005072948
893.5		0.005053542
893		0.004794613
892.5		0.004959701
892		0.004758528
891.5		0.00571608
891		0.005422418
890.5		0.005728466
890		0.005698995
889.5		0.007032431
889		0.00624774
888.5		0.006223053
888		0.006903917
887.5		0.006986582
887		0.007443497
886.5		0.008287682
886		0.008408879
885.5		0.008410646
885		0.009645849
884.5		0.009372541
884		0.010299338
883.5		0.010665779
883		0.011912804
882.5		0.012391707
882		0.013071421
881.5		0.013915198
881		0.015746029
880.5		0.015807811
880		0.017300658
879.5		0.014312014
879		0.016691634
878.5		0.018827284
878		0.021283893
877.5		0.023086825
877		0.026045429
876.5		0.02888291
876		0.032015868
875.5		0.036197457
875		0.040014811
874.5		0.044546798
874		0.049908791
873.5		0.056348525
873		0.062947929
872.5		0.070824787
872		0.079759866
871.5		0.09009926
871		0.102134936
870.5		0.116273217
870		0.131737888
869.5		0.150608689
869		0.172574207
868.5		0.195370898
868		0.222278521
867.5		0.258345246
867		0.295560449
866.5		0.3390266
866		0.392673761
865.5		0.453716695
865		0.525688171
864.5		0.610310555
864		0.711269081
863.5		0.832644939
863		0.971807003
862.5		1.137074471
862		1.336774826
861.5		1.576771736
861		1.864932895
860.5		2.208054781
860		2.621393681
859.5		3.111386776
859		3.71366787
858.5		4.43192482
858		5.31797123
857.5		6.392147541
857		7.635614872
856.5		9.166439056
856		11.02266026
855.5		13.21124744
855		15.84840393
854.5		18.95196342
854		22.55824661
853.5		26.67729187
853		31.31186104
852.5		36.49499893
852		42.02629471
851.5		47.93962097
851		54.02677536
850.5		59.86942673
850		65.53646851
849.5		70.81136322
849		75.57588959
848.5		79.73679352
848		83.23620605
847.5		86.10674286
847		88.40258789
846.5		90.16738892
846		91.47882843
845.5		92.47208405
845		93.17082214
844.5		93.67433929
844		94.03453827
843.5		94.25431824
843		94.41490936
842.5		94.48477936
842		94.56235504
841.5		94.63544464
841		94.68281555
840.5		94.72476196
840		94.73771667
839.5		94.76353455
839		94.80927277
838.5		94.84296417
838		94.85966492
837.5		94.90231323
837		94.90239716
836.5		94.95396423
836		94.98058319
835.5		94.98605347
835		94.97366333
834.5		95.00337219
834		95.0298233
833.5		95.01049042
833		95.00554657
832.5		95.00248718
832		94.99850464
831.5		94.99504089
831		94.97666931
830.5		94.9779129
830		94.94926453
829.5		94.91468048
829		94.87348938
828.5		94.8515625
828		94.82336426
827.5		94.76654816
827		94.72499084
826.5		94.67742157
826		94.63200378
825.5		94.60022736
825		94.53123474
824.5		94.48265839
824		94.44425201
